Board Game Rank;Thumbnail image;Title;Geek Rating;Avg Rating;Num Voters;Shop
1;;Gloomhaven  (2017)    Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!;8.494;8.73;49884;New Amazon: 220,26 €   [Shop]
2;;Pandemic Legacy: Season 1  (2015)    Mutating diseases are spreading around the world - can your team save humanity?;8.435;8.59;46298;New Amazon: 46,71 €      [Shop]
3;;Brass: Birmingham  (2018)    Build networks, grow industries, and navigate the world of the Industrial Revolution.;8.423;8.66;27790;New Amazon: 71,31 €      [Shop]
4;;Terraforming Mars  (2016)    Compete with rival CEOs to make Mars habitable and build your corporate empire.;8.267;8.41;77780;List: 74,48 €   New Amazon: 65,73 €      [Shop]
5;;Gloomhaven: Jaws of the Lion  (2020)    Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.;8.267;8.64;19030;New Amazon: 63,72 €   [Shop]
6;;Twilight Imperium: Fourth Edition  (2017)    Build an intergalactic empire through trade, research, conquest and grand politics.;8.255;8.66;16987;New Amazon: 85,00 €   [Shop]
7;;Gaia Project  (2017)    Expand, research, upgrade, and settle the galaxy with one of 14 alien species.;8.173;8.46;20469;List: 69,90 €   New Amazon: 56,99 €      [Shop]
8;;Star Wars: Rebellion  (2016)    Strike from your hidden base as the Rebels—or find and destroy it as the Empire.;8.169;8.42;26505;New Amazon: 122,19 €      [Shop]
9;;Spirit Island  (2017)    Island Spirits join forces using elemental powers to defend their home from invaders.;8.144;8.37;34784;New Amazon: 178,53 €   [Shop]
10;;War of the Ring: Second Edition  (2011)    The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.;8.143;8.52;16201;New Amazon: 290,00 €   [Shop]
11;;Through the Ages: A New Story of Civilization  (2015)    Rewrite history as you build up your civilization in this epic card drafting game!;8.137;8.37;26497;New Amazon: 47,01 €   [Shop]
12;;Great Western Trail  (2016)    Use strategic outposts and navigate danger as you herd your cattle to Kansas City.;8.119;8.29;34234;New Amazon: 119,99 €   [Shop]
