Title;Credited writer(s);Release;Year;Ref.;Notes
(-) Ions;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[10];
10,000 Days (Wings Pt 2);Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;10,000 Days;2006;[11];
4°;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;Undertow;1993;[12];
Ænema;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[13];
Bottom;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey Henry Rollins;Undertow;1993;[14];[A]
Cesaro Summability;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[15];
Chocolate Chip Trip;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Fear Inoculum !>Fear Inoculum;2019;[16];
Cold and Ugly;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;72826;1991;[17];[B]
Crawl Away;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;Undertow;1993;[18];[C]
Culling Voices;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Fear Inoculum !>Fear Inoculum;2019;[19];
Descending;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Fear Inoculum !>Fear Inoculum;2019;[20];
Die Eier von Satan;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[21];
Disgustipated;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;Undertow;1993;[22];
Disposition;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;Lateralus;2001;[23];
Eon Blue Apocalypse;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;Lateralus;2001;[24];
Eulogy;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[25];
Faaip de Oiad;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;Lateralus;2001;[26];
Fear Inoculum;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Fear Inoculum !>Fear Inoculum;2019;[27];
Flood;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;Undertow;1993;[28];
Forty Six & 2;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[29];
H.;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[30];
Hooker with a Penis;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[31];
Hush;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;72826;1991;[32];[B]
Intension;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;10,000 Days;2006;[33];
Intermission;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[34];
Intolerance;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;Undertow;1993;[35];
Invincible;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Fear Inoculum !>Fear Inoculum;2019;[36];
Jambi;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;10,000 Days;2006;[37];
Jerk-Off;Maynard James Keenan Adam Jones Paul D'Amour Danny Carey;72826;1991;[38];[B]
Jimmy;Maynard James Keenan Adam Jones Justin Chancellor Danny Carey;<span data-sort-value=Aenima !>Ænima;1996;[39];
